date,start_time,end_time,topic,description
2026-01-01,14:00,16:00,"Introduction to Web Development","Overview of how the web works, client-server model, and basic tools."
2026-01-06,10:00,12:00,"HTML5 Structure & Semantics","Structuring web pages using HTML5 elements, headings, and lists."
2026-01-08,14:00,16:00,"CSS3 Styling & Colors","Introduction to CSS selectors, colors, fonts, and inline vs external styles."
2026-01-13,10:00,12:00,"CSS Box Model & Layouts","Understanding margin, padding, borders, and block vs inline elements."
2026-01-15,14:00,16:00,"Flexbox & Grid Layouts","Building responsive page layouts using CSS Flexbox and Grid."
2026-01-20,10:00,12:00,"Media Queries & Responsive Design","Creating mobile-friendly layouts that adapt to different screen sizes."
2026-01-22,14:00,16:00,"Introduction to JavaScript","Basic JS syntax, variables, data types, and operators."
2026-01-27,10:00,12:00,"JS Control Flow & Loops","Using if-else statements, switch cases, and for/while loops."
2026-01-29,14:00,16:00,"JavaScript Functions","Declaring functions, arrow functions, parameters, and scope."
2026-02-03,10:00,12:00,"DOM Manipulation Basics","Selecting HTML elements and modifying their text and styles using JS."
2026-02-05,14:00,16:00,"Advanced DOM Events","Adding click, submit, and keyboard event listeners to elements."
2026-02-10,10:00,12:00,"Array Methods in JS","Using map, filter, reduce, and foreach methods on arrays."
2026-02-12,14:00,16:00,"Objects & Classes in JS","Object literals, properties, methods, and basic OOP in JavaScript."
2026-02-17,10:00,12:00,"Asynchronous JS & Promises","Understanding callbacks, promises, and the async/await syntax."
2026-02-19,14:00,16:00,"Working with APIs (Fetch)","Fetching data from third-party REST APIs and rendering it."
2026-02-24,10:00,12:00,"Introduction to PHP","Setting up local server, PHP tags, variables, and data types."
2026-02-26,14:00,16:00,"PHP Control Structures","Using loops, conditions, and switch statements in PHP."
2026-03-03,10:00,12:00,"PHP Arrays & Functions","Indexed, associative, and multidimensional arrays, and helper functions."
2026-03-05,14:00,16:00,"GET and POST Requests in PHP","Handling form submissions and processing URL parameters securely."
2026-03-10,10:00,12:00,"Database Design & Normalization","Relational database concepts, primary/foreign keys, and normal forms."
2026-03-12,14:00,16:00,"MySQL Basics & CRUD Operations","Creating tables, inserting, selecting, updating, and deleting data."
2026-03-17,10:00,12:00,"Advanced SQL Queries & Joins","Using INNER, LEFT, RIGHT, and FULL joins to combine tables."
2026-03-19,14:00,16:00,"PHP Database Integration (PDO)","Connecting PHP script to MySQL using PDO securely."
2026-03-24,10:00,12:00,"Prepared Statements in PHP","Preventing SQL injection using prepared statements and binding values."
2026-03-26,14:00,16:00,"User Authentication & Sessions","Implementing register, login, password hashing, and session management."
2026-03-31,10:00,12:00,"Object-Oriented PHP","Classes, inheritance, encapsulation, and namespaces in PHP."
2026-04-02,14:00,16:00,"MVC Architecture Pattern","Understanding Model-View-Controller structure for clean code."
2026-04-07,10:00,12:00,"Building REST APIs in PHP","Creating endpoints that return JSON data based on request methods."
2026-04-09,14:00,16:00,"AJAX with PHP Backend","Submitting forms and fetching server response without page reload."
2026-04-14,10:00,12:00,"Git & Version Control basics","Initializing repos, staging, committing, and branching in Git."
2026-04-16,14:00,16:00,"GitHub & Collaborative Coding","Pushing to remote, opening pull requests, and resolving conflicts."
2026-04-21,10:00,12:00,"Web App Security Best Practices","Preventing XSS, CSRF, SQLi, and securing cookie sessions."
2026-04-23,14:00,16:00,"Composer & Dependency Management","Installing packages using composer, autoloader configuration."
2026-04-28,10:00,12:00,"Unit Testing with PHPUnit","Writing simple unit tests to verify logic correctness."
2026-04-30,14:00,16:00,"Introduction to React.js","React basics, components, props, and setting up Vite projects."
2026-05-05,10:00,12:00,"React State & Event Handling","Using useState hook and handling user inputs in React."
2026-05-07,14:00,16:00,"React Hooks (useEffect)","Fetching data and managing component lifecycle using useEffect."
2026-05-12,10:00,12:00,"React Router DOM","Implementing client-side routing and navigation in React apps."
2026-05-14,14:00,16:00,"State Management (Redux/Context)","Managing global state across multiple React components."
2026-05-19,10:00,12:00,"TailwindCSS Integration","Utility-first styling inside React components for rapid development."
2026-05-21,14:00,16:00,"API Integration in React","Connecting React frontend to PHP/MySQL backend endpoints."
2026-05-26,10:00,12:00,"Node.js & Express Basics","Introduction to server-side JavaScript execution environment."
2026-05-28,14:00,16:00,"MongoDB & NoSQL Databases","Understanding document stores, basic collections, and queries."
2026-06-02,10:00,12:00,"Websockets & Real-time Chat","Building simple chat applications using WebSocket protocol."
2026-06-04,14:00,16:00,"Caching & Performance Tuning","Using Redis or OPcache to speed up database queries and response times."
2026-06-09,10:00,12:00,"Docker Containerization","Creating Dockerfiles and docker-compose configurations for PHP apps."
2026-06-11,14:00,16:00,"Deployment to VPS/Hosting","Deploying PHP-MySQL projects to live cPanel or VPS server."
2026-06-16,10:00,12:00,"CI/CD Pipeline Setup","Automating testing and deployment using GitHub Actions."
2026-06-18,14:00,16:00,"Final Project Selection","Pitching project ideas, forming teams, and creating backlog lists."
2026-06-23,10:00,12:00,"Project Development Sprint 1","Working on database schema and basic page structures."
2026-06-25,14:00,16:00,"Project Development Sprint 2","Implementing logic, forms, and user authentication flow."
2026-06-30,10:00,12:00,"Final Testing & Project Presentation","Demonstrating fully functional applications and code walkthrough."
2026-07-02,14:00,16:00,"Introduction to Web Development","Overview of how the web works, client-server model, and basic tools."
2026-07-07,10:00,12:00,"HTML5 Structure & Semantics","Structuring web pages using HTML5 elements, headings, and lists."
2026-07-09,14:00,16:00,"CSS3 Styling & Colors","Introduction to CSS selectors, colors, fonts, and inline vs external styles."
2026-07-14,10:00,12:00,"CSS Box Model & Layouts","Understanding margin, padding, borders, and block vs inline elements."
2026-07-16,14:00,16:00,"Flexbox & Grid Layouts","Building responsive page layouts using CSS Flexbox and Grid."
2026-07-21,10:00,12:00,"Media Queries & Responsive Design","Creating mobile-friendly layouts that adapt to different screen sizes."
2026-07-23,14:00,16:00,"Introduction to JavaScript","Basic JS syntax, variables, data types, and operators."
2026-07-28,10:00,12:00,"JS Control Flow & Loops","Using if-else statements, switch cases, and for/while loops."
2026-07-30,14:00,16:00,"JavaScript Functions","Declaring functions, arrow functions, parameters, and scope."
2026-08-04,10:00,12:00,"DOM Manipulation Basics","Selecting HTML elements and modifying their text and styles using JS."
2026-08-06,14:00,16:00,"Advanced DOM Events","Adding click, submit, and keyboard event listeners to elements."
2026-08-11,10:00,12:00,"Array Methods in JS","Using map, filter, reduce, and foreach methods on arrays."
2026-08-13,14:00,16:00,"Objects & Classes in JS","Object literals, properties, methods, and basic OOP in JavaScript."
2026-08-18,10:00,12:00,"Asynchronous JS & Promises","Understanding callbacks, promises, and the async/await syntax."
2026-08-20,14:00,16:00,"Working with APIs (Fetch)","Fetching data from third-party REST APIs and rendering it."
2026-08-25,10:00,12:00,"Introduction to PHP","Setting up local server, PHP tags, variables, and data types."
2026-08-27,14:00,16:00,"PHP Control Structures","Using loops, conditions, and switch statements in PHP."
2026-09-01,10:00,12:00,"PHP Arrays & Functions","Indexed, associative, and multidimensional arrays, and helper functions."
2026-09-03,14:00,16:00,"GET and POST Requests in PHP","Handling form submissions and processing URL parameters securely."
2026-09-08,10:00,12:00,"Database Design & Normalization","Relational database concepts, primary/foreign keys, and normal forms."
2026-09-10,14:00,16:00,"MySQL Basics & CRUD Operations","Creating tables, inserting, selecting, updating, and deleting data."
2026-09-15,10:00,12:00,"Advanced SQL Queries & Joins","Using INNER, LEFT, RIGHT, and FULL joins to combine tables."
2026-09-17,14:00,16:00,"PHP Database Integration (PDO)","Connecting PHP script to MySQL using PDO securely."
2026-09-22,10:00,12:00,"Prepared Statements in PHP","Preventing SQL injection using prepared statements and binding values."
2026-09-24,14:00,16:00,"User Authentication & Sessions","Implementing register, login, password hashing, and session management."
2026-09-29,10:00,12:00,"Object-Oriented PHP","Classes, inheritance, encapsulation, and namespaces in PHP."
2026-10-01,14:00,16:00,"MVC Architecture Pattern","Understanding Model-View-Controller structure for clean code."
2026-10-06,10:00,12:00,"Building REST APIs in PHP","Creating endpoints that return JSON data based on request methods."
2026-10-08,14:00,16:00,"AJAX with PHP Backend","Submitting forms and fetching server response without page reload."
2026-10-13,10:00,12:00,"Git & Version Control basics","Initializing repos, staging, committing, and branching in Git."
2026-10-15,14:00,16:00,"GitHub & Collaborative Coding","Pushing to remote, opening pull requests, and resolving conflicts."
2026-10-20,10:00,12:00,"Web App Security Best Practices","Preventing XSS, CSRF, SQLi, and securing cookie sessions."
2026-10-22,14:00,16:00,"Composer & Dependency Management","Installing packages using composer, autoloader configuration."
2026-10-27,10:00,12:00,"Unit Testing with PHPUnit","Writing simple unit tests to verify logic correctness."
2026-10-29,14:00,16:00,"Introduction to React.js","React basics, components, props, and setting up Vite projects."
2026-11-03,10:00,12:00,"React State & Event Handling","Using useState hook and handling user inputs in React."
2026-11-05,14:00,16:00,"React Hooks (useEffect)","Fetching data and managing component lifecycle using useEffect."
2026-11-10,10:00,12:00,"React Router DOM","Implementing client-side routing and navigation in React apps."
2026-11-12,14:00,16:00,"State Management (Redux/Context)","Managing global state across multiple React components."
2026-11-17,10:00,12:00,"TailwindCSS Integration","Utility-first styling inside React components for rapid development."
2026-11-19,14:00,16:00,"API Integration in React","Connecting React frontend to PHP/MySQL backend endpoints."
2026-11-24,10:00,12:00,"Node.js & Express Basics","Introduction to server-side JavaScript execution environment."
2026-11-26,14:00,16:00,"MongoDB & NoSQL Databases","Understanding document stores, basic collections, and queries."
2026-12-01,10:00,12:00,"Websockets & Real-time Chat","Building simple chat applications using WebSocket protocol."
2026-12-03,14:00,16:00,"Caching & Performance Tuning","Using Redis or OPcache to speed up database queries and response times."
2026-12-08,10:00,12:00,"Docker Containerization","Creating Dockerfiles and docker-compose configurations for PHP apps."
2026-12-10,14:00,16:00,"Deployment to VPS/Hosting","Deploying PHP-MySQL projects to live cPanel or VPS server."
2026-12-15,10:00,12:00,"CI/CD Pipeline Setup","Automating testing and deployment using GitHub Actions."
2026-12-17,14:00,16:00,"Final Project Selection","Pitching project ideas, forming teams, and creating backlog lists."
2026-12-22,10:00,12:00,"Project Development Sprint 1","Working on database schema and basic page structures."
2026-12-24,14:00,16:00,"Project Development Sprint 2","Implementing logic, forms, and user authentication flow."
2026-12-29,10:00,12:00,"Final Testing & Project Presentation","Demonstrating fully functional applications and code walkthrough."
2026-12-31,14:00,16:00,"Introduction to Web Development","Overview of how the web works, client-server model, and basic tools."
